part,step,agent,total_time,collision_count,goals_reached,lr,batch,gamma,hidden_dim,buffer,epsilon_decay,tau,clip_eps,entropy_coeff,lamda,ppo_epochs,result_file
1,p1_batch,dqn,27.0000000000005,6,1,,64.0,,,,,,,,,,DQNAgent_training_metrics_warehouse_level_3_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize64_hdim128_eps_s1.0_eps_e0.001_eps_d0.98.json
1,p1_batch,dqn,24.500000000000377,4,1,,256.0,,,,,,,,,,DQNAgent_training_metrics_warehouse_level_3_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize256_hdim128_eps_s1.0_eps_e0.001_eps_d0.98.json
1,p1_batch,dqn,25.0000000000004,3,1,,1024.0,,,,,,,,,,DQNAgent_training_metrics_warehouse_level_3_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize1024_hdim128_eps_s1.0_eps_e0.001_eps_d0.98.json
1,p1_batch,ppo,1499.999999999293,6,0,,64.0,,,,,,,,,,PPOAgent_training_metrics_warehouse_level_3_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize64_hdim128_lam0.95_c0.2_ent0.4_ppo_ep4.json
1,p1_batch,ppo,1499.999999999293,2,0,,256.0,,,,,,,,,,PPOAgent_training_metrics_warehouse_level_3_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize256_hdim128_lam0.95_c0.2_ent0.4_ppo_ep4.json
1,p1_batch,ppo,54.99999999999944,5,1,,1024.0,,,,,,,,,,PPOAgent_training_metrics_warehouse_level_3_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize1024_hdim128_lam0.95_c0.2_ent0.4_ppo_ep4.json
1,p1_buffer,dqn,24.500000000000377,6,1,,,,,5000.0,,,,,,,DQNAgent_training_metrics_warehouse_level_3_e300_max_steps3000_g0.99_lr0.0003_bcap5000_bsize128_hdim128_eps_s1.0_eps_e0.001_eps_d0.98.json
1,p1_buffer,dqn,26.00000000000045,4,1,,,,,20000.0,,,,,,,DQNAgent_training_metrics_warehouse_level_3_e300_max_steps3000_g0.99_lr0.0003_bcap20000_bsize128_hdim128_eps_s1.0_eps_e0.001_eps_d0.98.json
1,p1_buffer,dqn,26.00000000000045,4,1,,,,,100000.0,,,,,,,DQNAgent_training_metrics_warehouse_level_3_e300_max_steps3000_g0.99_lr0.0003_bcap100000_bsize128_hdim128_eps_s1.0_eps_e0.001_eps_d0.98.json
1,p1_buffer,ppo,1499.999999999293,1,0,,,,,5000.0,,,,,,,PPOAgent_training_metrics_warehouse_level_3_e300_max_steps3000_g0.99_lr0.0003_bcap5000_bsize128_hdim128_lam0.95_c0.2_ent0.4_ppo_ep4.json
1,p1_buffer,ppo,60.9999999999991,4,1,,,,,20000.0,,,,,,,PPOAgent_training_metrics_warehouse_level_3_e300_max_steps3000_g0.99_lr0.0003_bcap20000_bsize128_hdim128_lam0.95_c0.2_ent0.4_ppo_ep4.json
1,p1_buffer,ppo,1499.999999999293,5,0,,,,,100000.0,,,,,,,PPOAgent_training_metrics_warehouse_level_3_e300_max_steps3000_g0.99_lr0.0003_bcap100000_bsize128_hdim128_lam0.95_c0.2_ent0.4_ppo_ep4.json
1,p1_gamma,dqn,24.00000000000035,3,1,,,0.95,,,,,,,,,DQNAgent_training_metrics_warehouse_level_3_e300_max_steps3000_g0.95_lr0.0003_bcap10000_bsize128_hdim128_eps_s1.0_eps_e0.001_eps_d0.98.json
1,p1_gamma,dqn,1499.999999999293,6,0,,,0.99,,,,,,,,,DQNAgent_training_metrics_warehouse_level_3_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize256_hdim128_eps_s1.0_eps_e0.001_eps_d0.98.json
1,p1_gamma,dqn,28.00000000000055,4,1,,,0.999,,,,,,,,,DQNAgent_training_metrics_warehouse_level_3_e300_max_steps3000_g0.999_lr0.0003_bcap10000_bsize128_hdim128_eps_s1.0_eps_e0.001_eps_d0.98.json
1,p1_gamma,ppo,111.49999999999623,12,1,,,0.95,,,,,,,,,PPOAgent_training_metrics_warehouse_level_3_e300_max_steps3000_g0.95_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.2_ent0.4_ppo_ep4 - Copy.json
1,p1_gamma,ppo,1499.999999999293,6,0,,,0.99,,,,,,,,,PPOAgent_training_metrics_warehouse_level_3_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.99_c0.2_ent0.4_ppo_ep4.json
1,p1_gamma,ppo,1499.999999999293,1,0,,,0.999,,,,,,,,,PPOAgent_training_metrics_warehouse_level_3_e300_max_steps3000_g0.999_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.2_ent0.4_ppo_ep4.json
1,p1_hidden,dqn,32.000000000000746,3,1,,,,64.0,,,,,,,,DQNAgent_training_metrics_warehouse_level_3_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim64_eps_s1.0_eps_e0.001_eps_d0.98.json
1,p1_hidden,dqn,27.0000000000005,4,1,,,,256.0,,,,,,,,DQNAgent_training_metrics_warehouse_level_3_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim256_eps_s1.0_eps_e0.001_eps_d0.98.json
1,p1_hidden,dqn,24.00000000000035,2,1,,,,512.0,,,,,,,,DQNAgent_training_metrics_warehouse_level_3_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim512_eps_s1.0_eps_e0.001_eps_d0.98.json
1,p1_hidden,ppo,1499.999999999293,1,0,,,,64.0,,,,,,,,PPOAgent_training_metrics_warehouse_level_3_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim64_lam0.95_c0.2_ent0.4_ppo_ep4.json
1,p1_hidden,ppo,1499.999999999293,3,0,,,,256.0,,,,,,,,PPOAgent_training_metrics_warehouse_level_3_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim256_lam0.95_c0.2_ent0.4_ppo_ep4.json
1,p1_hidden,ppo,1499.999999999293,0,0,,,,512.0,,,,,,,,PPOAgent_training_metrics_warehouse_level_3_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim512_lam0.95_c0.2_ent0.4_ppo_ep4.json
1,p1_lr,dqn,1499.999999999293,4,0,0.0001,,,,,,,,,,,DQNAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0001_bcap10000_bsize128_hdim128_eps_s1.0_eps_e0.001_eps_d0.98.json
1,p1_lr,dqn,23.500000000000327,4,1,0.0003,,,,,,,,,,,DQNAgent_training_metrics_warehouse_level_3_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize256_hdim128_eps_s1.0_eps_e0.001_eps_d0.98.json
1,p1_lr,dqn,28.00000000000055,3,1,0.001,,,,,,,,,,,DQNAgent_training_metrics_warehouse_level_3_e300_max_steps3000_g0.99_lr0.001_bcap10000_bsize128_hdim128_eps_s1.0_eps_e0.001_eps_d0.98.json
1,p1_lr,ppo,101.4999999999968,5,1,0.0001,,,,,,,,,,,PPOAgent_training_metrics_warehouse_level_3_e300_max_steps3000_g0.99_lr0.0001_bcap10000_bsize128_hdim128_lam0.95_c0.2_ent0.4_ppo_ep4.json
1,p1_lr,ppo,1499.999999999293,996,0,0.0003,,,,,,,,,,,PPOAgent_training_metrics_warehouse_level_3_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.99_c0.2_ent0.4_ppo_ep4.json
1,p1_lr,ppo,1499.999999999293,2,0,0.001,,,,,,,,,,,PPOAgent_training_metrics_warehouse_level_3_e300_max_steps3000_g0.99_lr0.001_bcap10000_bsize128_hdim128_lam0.95_c0.2_ent0.4_ppo_ep4.json
